speech	time
"Hello Jill, How are you doing today?"	"2016-04-15 12:16:33,878"
"Sorry, I do not have access to the GPS"	"2016-04-15 12:16:51,227"
Isn't it funny an iPhone is better at navigation than this high end car	"2016-04-15 12:17:40,313"
the cameras enable my contextual reasoning	"2016-04-15 12:18:45,204"
how are you liking this car so far?	"2016-04-15 12:20:37,839"
yes	"2016-04-15 12:20:46,672"
Do you like driving?	"2016-04-15 12:21:09,249"
It looks like a good day	"2016-04-15 12:21:24,677"
to be driving i mean	"2016-04-15 12:21:33,948"
i think we will be fine	"2016-04-15 12:22:09,144"
Did you notice the blind spot indicator?	"2016-04-15 12:23:39,989"
there you go	"2016-04-15 12:23:55,971"
I see 70 as your set speed	"2016-04-15 12:24:08,325"
did that make you feel uncomfortable ?	"2016-04-15 12:25:07,327"
would you like me to let you know the next time a policeman is following you?	"2016-04-15 12:25:32,875"
okay. i have updated my database	"2016-04-15 12:25:49,793"
i agree	"2016-04-15 12:26:06,135"
yes	"2016-04-15 12:26:35,738"
your following distance is set at long	"2016-04-15 12:26:56,305"
where are you heading?	"2016-04-15 12:27:32,588"
okay	"2016-04-15 12:27:39,347"
the next exit is what you would take	"2016-04-15 12:27:49,877"
Can you tell me more?	"2016-04-15 12:28:07,822"
Do you feel safe?	"2016-04-15 12:28:50,521"
do you know what that beep was for?	"2016-04-15 12:30:19,158"
i did not know that	"2016-04-15 12:30:31,434"
updating database	"2016-04-15 12:30:36,256"
even when the ICC is not on the car should brake for you	"2016-04-15 12:31:16,766"
is it hovering over the brake?	"2016-04-15 12:32:13,395"
ah thats right	"2016-04-15 12:32:31,778"
this car has steer assist	"2016-04-15 12:33:08,422"
so one hand is good	"2016-04-15 12:33:14,085"
but don't tell the cops that	"2016-04-15 12:33:21,806"
updating database	"2016-04-15 12:33:34,829"
the one on campus?	"2016-04-15 12:33:55,875"
was that the car or you braking there	"2016-04-15 12:35:19,939"
do you think the car was prevented you from driving how you normally would?	"2016-04-15 12:36:22,781"
i understand	"2016-04-15 12:36:53,947"
do you refer to the instrument cluster for information about the ICC?	"2016-04-15 12:38:06,344"
yes that makes sense	"2016-04-15 12:38:35,261"
what about on the freeway	"2016-04-15 12:38:39,230"
do you feel its easy to find the information you are looking for at the time?	"2016-04-15 12:39:00,683"
What is the worst part of the system?	"2016-04-15 12:39:13,459"
updating database	"2016-04-15 12:39:29,823"
yes	"2016-04-15 12:40:19,169"
there might be an event	"2016-04-15 12:40:55,836"
you will enter palm drive. the gps is right	"2016-04-15 12:42:41,389"
you might have to park and walk over	"2016-04-15 12:43:02,229"
have you driven this car before?	"2016-04-15 12:43:26,107"
yes the previous one was not a hybrid	"2016-04-15 12:43:40,910"
same car	"2016-04-15 12:43:49,774"
what do you think about longer commutes?	"2016-04-15 12:44:20,896"
its more central	"2016-04-15 12:46:26,508"
you are to the right of the campus	"2016-04-15 12:46:35,892"
i will guide you to a parking lot	"2016-04-15 12:47:30,545"
go around	"2016-04-15 12:48:08,461"
tressider is the closest parking	"2016-04-15 12:48:23,014"
ignore the gps	"2016-04-15 12:48:28,145"
its a 10 minute walk from here	"2016-04-15 12:48:39,742"
but you should go around	"2016-04-15 12:48:46,934"
keep driving on palm drive till the next intersection and continue straight	"2016-04-15 12:49:14,637"
go left	"2016-04-15 12:49:59,740"
stay on campus till you reach a circle and take a left turn	"2016-04-15 12:50:41,947"
its a mile away	"2016-04-15 12:50:53,428"
do you think you will feel more distracted with the ICC system enabled?	"2016-04-15 12:52:28,605"
what about the freeway and over a long commute	"2016-04-15 12:52:53,427"
thats a good point	"2016-04-15 12:53:12,707"
yes	"2016-04-15 12:53:40,585"
have you tried the sport mode?	"2016-04-15 12:54:26,604"
what mode are you on?	"2016-04-15 12:54:38,883"
go left around the circle	"2016-04-15 12:54:54,112"
after the next intersection there is public parking to the right along till the end of the road	"2016-04-15 12:56:29,792"
thats not a spot	"2016-04-15 12:57:23,215"
you are close	"2016-04-15 12:57:42,158"
no	"2016-04-15 12:58:06,641"
only right	"2016-04-15 12:58:10,065"
try down the road	"2016-04-15 12:58:14,393"
go left	"2016-04-15 12:59:36,399"
at the intersection	"2016-04-15 12:59:41,558"
go left on mayfield	"2016-04-15 13:00:23,424"
left here	"2016-04-15 13:00:37,958"
there is a bigger lot ahead	"2016-04-15 13:00:52,071"
go ahead	"2016-04-15 13:01:16,537"
next left	"2016-04-15 13:01:23,096"
lok for visitors parking	"2016-04-15 13:01:39,414"
no	"2016-04-15 13:04:20,817"
ye	"2016-04-15 13:04:31,192"
yes	"2016-04-15 13:04:33,470"
my pleasure	"2016-04-15 13:04:50,995"
tell me the parking spot zone number	"2016-04-15 13:05:04,966"
we have an account	"2016-04-15 13:05:22,143"
no don't pay	"2016-04-15 13:05:33,087"
hold on one second	"2016-04-15 13:05:42,992"
yes and i also need the car number	"2016-04-15 13:06:05,979"
yes	"2016-04-15 13:06:11,070"
the zone number does not match up	"2016-04-15 13:06:40,604"
is there a number on the parking meter?	"2016-04-15 13:06:52,896"
"oh i am sorry, i understand now"	"2016-04-15 13:07:03,396"
give me one second	"2016-04-15 13:07:14,005"
i think that best for now	"2016-04-15 13:07:32,216"
yes	"2016-04-15 13:07:38,072"
yes	"2016-04-15 13:07:51,429"
