speed	time
0	"2016-04-15 12:13:48,142"
0	"2016-04-15 12:13:49,114"
0	"2016-04-15 12:13:50,143"
0	"2016-04-15 12:13:51,154"
0	"2016-04-15 12:13:52,151"
0	"2016-04-15 12:13:53,135"
0	"2016-04-15 12:13:54,144"
0	"2016-04-15 12:13:55,155"
0	"2016-04-15 12:13:56,135"
0	"2016-04-15 12:13:57,175"
0	"2016-04-15 12:13:58,177"
0	"2016-04-15 12:13:59,178"
0	"2016-04-15 12:14:00,167"
0	"2016-04-15 12:14:01,196"
0	"2016-04-15 12:14:02,167"
0	"2016-04-15 12:14:03,173"
0	"2016-04-15 12:14:04,212"
0	"2016-04-15 12:14:05,205"
0	"2016-04-15 12:14:06,217"
0	"2016-04-15 12:14:07,203"
0	"2016-04-15 12:14:08,205"
0	"2016-04-15 12:14:09,213"
0	"2016-04-15 12:14:10,264"
0	"2016-04-15 12:14:11,211"
0	"2016-04-15 12:14:12,204"
0	"2016-04-15 12:14:13,237"
0	"2016-04-15 12:14:14,203"
0	"2016-04-15 12:14:15,235"
0	"2016-04-15 12:14:16,233"
0	"2016-04-15 12:14:17,239"
0	"2016-04-15 12:14:18,235"
0	"2016-04-15 12:14:19,243"
0	"2016-04-15 12:14:20,238"
0	"2016-04-15 12:14:21,236"
0	"2016-04-15 12:14:22,227"
0	"2016-04-15 12:14:23,277"
0	"2016-04-15 12:14:24,226"
0	"2016-04-15 12:14:25,236"
0	"2016-04-15 12:14:26,218"
0	"2016-04-15 12:14:27,247"
0	"2016-04-15 12:14:28,227"
0	"2016-04-15 12:14:29,252"
0	"2016-04-15 12:14:30,226"
0	"2016-04-15 12:14:31,245"
0	"2016-04-15 12:14:32,248"
0	"2016-04-15 12:14:33,243"
0	"2016-04-15 12:14:34,256"
0	"2016-04-15 12:14:35,236"
0	"2016-04-15 12:14:36,296"
0	"2016-04-15 12:14:37,256"
0	"2016-04-15 12:14:38,296"
0	"2016-04-15 12:14:39,285"
0	"2016-04-15 12:14:40,288"
0	"2016-04-15 12:14:41,278"
0	"2016-04-15 12:14:42,256"
0	"2016-04-15 12:14:43,278"
0	"2016-04-15 12:14:44,275"
0	"2016-04-15 12:14:45,278"
0	"2016-04-15 12:14:46,296"
0	"2016-04-15 12:14:47,269"
0	"2016-04-15 12:14:48,284"
0	"2016-04-15 12:14:49,275"
0	"2016-04-15 12:14:50,296"
0	"2016-04-15 12:14:51,261"
0	"2016-04-15 12:14:52,306"
0	"2016-04-15 12:14:53,277"
0	"2016-04-15 12:14:54,284"
0	"2016-04-15 12:14:55,287"
0	"2016-04-15 12:14:56,296"
0	"2016-04-15 12:14:57,297"
0	"2016-04-15 12:14:58,284"
0	"2016-04-15 12:14:59,278"
0	"2016-04-15 12:15:00,296"
0	"2016-04-15 12:15:01,275"
0	"2016-04-15 12:15:02,296"
0	"2016-04-15 12:15:03,286"
0	"2016-04-15 12:15:04,277"
0	"2016-04-15 12:15:05,267"
0	"2016-04-15 12:15:06,277"
0	"2016-04-15 12:15:07,297"
0	"2016-04-15 12:15:08,304"
0	"2016-04-15 12:15:09,316"
0	"2016-04-15 12:15:10,306"
0	"2016-04-15 12:15:11,294"
0	"2016-04-15 12:15:12,295"
0	"2016-04-15 12:15:13,298"
0	"2016-04-15 12:15:14,293"
0	"2016-04-15 12:15:15,286"
0	"2016-04-15 12:15:16,318"
0	"2016-04-15 12:15:17,298"
0	"2016-04-15 12:15:18,327"
0	"2016-04-15 12:15:19,295"
0	"2016-04-15 12:15:20,295"
0	"2016-04-15 12:15:21,327"
0	"2016-04-15 12:15:22,318"
0	"2016-04-15 12:15:23,325"
0	"2016-04-15 12:15:24,344"
0	"2016-04-15 12:15:25,346"
0	"2016-04-15 12:15:26,327"
0	"2016-04-15 12:15:27,366"
0	"2016-04-15 12:15:28,356"
0	"2016-04-15 12:15:29,349"
0	"2016-04-15 12:15:30,373"
0	"2016-04-15 12:15:31,367"
0	"2016-04-15 12:15:32,365"
0	"2016-04-15 12:15:33,367"
0	"2016-04-15 12:15:34,378"
0	"2016-04-15 12:15:35,357"
0	"2016-04-15 12:15:36,376"
0	"2016-04-15 12:15:37,359"
0	"2016-04-15 12:15:38,344"
0	"2016-04-15 12:15:39,357"
0	"2016-04-15 12:15:40,358"
0	"2016-04-15 12:15:41,367"
